product_id,tot_consum_loss,mark_size
2923213,54900,2
3757285,37550.11,2
4551779,19426.54,2
5088793,34216.36,2
5538943,110810.53,2
5566101,43008,2
5599507,10832.12,2
3237125,1079076,3
3294685,1556601,3
3751683,106429.09,3
4247950,66177.47,3
4860424,55869,3
4932001,57710.16,3
4991090,52515.6,3
5245219,179548.71000000002,3
5269174,88982.98,3
5308433,219481.9,3
5390939,158944.02000000002,3
5474788,81865.89000000003,3
5599509,43360,3
3237124,199022,4
3404911,330674.9,4
3812098,403823,4
5309431,27623,4
5404130,75670.28,4
4873977,477875.71,5
5269376,295429,5
5377820,83720.99,5
5032794,57336.56,6
5032795,73302.6,6
5082756,26799.71,6
5285365,120372.98,6
5404053,166982.09,6
5598263,160289.81,6
4155763,14746,7
4752130,27522.43,7
5343764,74401.97,7
5474867,271516.79,7
5343752,101908.74,11
4861219,143633,12
