product_id,tot_consum_loss,mark_size
615564,55863,10
3835350,564530.88,10
4024034,22104,10
4400338,68279,10
5475526,92911.67,10
5765859,120461.02,10
5790487,172342,10
2821312,240150.17,11
3245217,25602.6,11
5343752,101908.74,11
5459098,190943.56,11
2982204,161676.43,12
3060126,42195,12
4043974,218099.51000000004,12
4469101,588703.74,12
4861219,143633,12
4875756,84175.55,12
4924285,88998.83,12
5039954,89762.07,12
5783520,96940.65000000004,12
5783562,175042,12
5474775,29644,13
3891097,138095,14
4861555,283327.4,14
4981217,861955,14
5061589,57650.71,14
5080235,68377.96,14
5198622,1175548.4,14
5264076,181974,14
5343820,62499.17,14
5725712,68847.9,14
445737,76839.98,15
3310498,174445,15
4712526,99266.18,15
5351147,348688,15
5668640,165452.3,15
5736685,399822.61,15
702899,370936.32,16
3556026,679789.7799999999,16
4864019,26942,16
4975191,116496.53,16
5277547,135320,16
5459093,260949.78,16
5733685,199137.89,16
5787596,191868,16
875294,563646.72,17
3753756,24546264.51,17
4578591,421754.69,17
5037394,1736679.2999999998,17
5785262,410508,17
519651,56161.85,18
3650653,81206.1,18
5033868,52516.329999999994,18
5196015,134160,18
4779863,185227,19
4815513,219528.35,19
4865552,227041.24,19
5343789,67314,19
94203,481320,2
969772,81334,2
971172,97304,2
971173,57174.9,2
2759849,12376,2
2923213,54900,2
2992122,127000,2
2994994,7128,2
3065280,31528,2
3129218,19031,2
3313907,21176,2
3479359,236509,2
3757285,37550.11,2
3779650,330702,2
3790180,13813.94,2
3865882,856756.99,2
3865884,355561.75,2
3892117,210929,2
3917842,0,2
3965204,17392.230000000003,2
4026913,4343.619999999997,2
4376881,396,2
4551779,19426.54,2
4571460,60390,2
4860782,125655,2
4877777,17100,2
4951776,1822961,2
4963384,2945000,2
5088793,34216.36,2
5154449,2518,2
5206083,67017,2
5270306,1490563.9,2
5276485,398000,2
5538943,110810.53,2
5566101,43008,2
5599507,10832.12,2
5761631,74651.53,2
4864606,95083.64,20
4892427,168267.35,20
5599771,130277.4,20
418250,75800,3
427228,133904,3
2571718,389584,3
2640186,124126.33,3
2665697,1869510.32,3
2667089,662094.6,3
2679724,33591.69,3
2702720,227722,3
3236464,90,3
3237125,1079076,3
3294685,1556601,3
3751683,106429.09,3
3922127,123600,3
4118556,12060,3
4247950,66177.47,3
4747588,2186679.4,3
4856524,30908,3
4860424,55869,3
4862585,0,3
4893970,69839.83,3
4910342,187130,3
4932001,57710.16,3
4991090,52515.6,3
5206082,648586,3
5245219,179548.71000000002,3
5269174,88982.98,3
5293319,1400,3
5308433,219481.9,3
5309246,76213.4,3
5390939,158944.02000000002,3
5471852,36515.56,3
5471853,11468,3
5474788,81865.89000000003,3
5592071,280135,3
5599509,43360,3
5700912,148506,3
358169,83588,4
840432,61461,4
2886018,486876,4
3045309,28398.039999999997,4
3237124,199022,4
3349540,0,4
3404911,330674.9,4
3806068,684498,4
3812098,403823,4
4012588,90049,4
4043976,834675,4
4043977,773118,4
4095342,639313,4
4758843,152828,4
4910421,469582,4
4914076,914388.49,4
5301323,198493,4
5309431,27623,4
5343139,44502,4
5404130,75670.28,4
5462516,125820.76,4
5725121,57254.23,4
285615,38164,5
368184,41380,5
495069,2140880.22,5
559483,2763150,5
995577,88055,5
3060127,66085,5
3314563,47812,5
3535940,215574,5
4221036,122501.83000000002,5
4835133,273087.77999999997,5
4873977,477875.71,5
4944169,445449.58,5
4963621,212388.8,5
5269376,295429,5
5308386,29732.45000000001,5
5377820,83720.99,5
5459091,175297.73,5
5604090,114517,5
5701013,237970.88,5
74603,171916.22,6
74608,196600,6
559476,0,6
842496,182241.3,6
3387913,57266,6
3481140,61428,6
3757965,13026.08,6
3761923,127606,6
3938091,44427.45,6
3965203,25880.8,6
4390631,32301.36,6
4402499,214854,6
4861176,184215,6
5032794,57336.56,6
5032795,73302.6,6
5082756,26799.71,6
5118139,2070,6
5270893,404129.13,6
5277551,140366.41,6
5285365,120372.98,6
5404053,166982.09,6
5459100,203270.38,6
5475520,103810,6
5597629,67540.44,6
5598263,160289.81,6
5628595,55829.78,6
5629036,99733.83,6
5710777,701344,6
74606,174449,7
484666,162633,7
697605,326487.1,7
700049,467923.49,7
840431,1074065.29,7
999981,0,7
2809671,912694,7
2960679,333477,7
3047555,9695.37,7
3466911,376164,7
3763722,157758.46,7
3767462,148456,7
3801261,56304,7
3892114,130286.22,7
4155763,14746,7
4486854,90975.68,7
4752130,27522.43,7
4957017,15854,7
5204293,334203,7
5283118,62338,7
5286494,60208.19,7
5343764,74401.97,7
5343970,109199.59,7
5344212,30544.140000000003,7
5474867,271516.79,7
5567300,263429.85,7
5586318,351609.1,7
5591815,209238.6,7
5595811,20939.02,7
5700937,393520,7
5726561,193811.58,7
589062,413853.49,8
3273478,172930.27,8
3767460,348735.22000000003,8
3829327,303815.84,8
3886504,258073.62,8
4374711,225801.24,8
4411451,65154,8
4679956,232713.58999999997,8
4811365,141800.18,8
4856753,41719.19,8
4952517,1125350,8
4968827,39519,8
4989697,203061.56,8
5087985,93640.97,8
5264062,112004.17,8
5322127,218963.8,8
5346410,97258.35,8
5474686,71373.86,8
5583225,56361,8
5599511,135081.62,8
5609580,430890,8
5701007,515241.82,8
715184,97052.18,9
3770768,44261.26,9
3834633,45345.18,9
3942346,135785.13,9
4465677,4292450,9
4973623,45435.76,9
5220207,1350280,9
5240278,70853.31,9
5471851,8851,9
5701221,326254.1,9
