product_id,tot_consum_loss,mark_size
94203,481320,2
969772,81334,2
971172,97304,2
971173,57174.9,2
2992122,127000,2
2994994,7128,2
3313907,21176,2
3479359,236509,2
3779650,330702,2
3865882,856756.99,2
3865884,355561.75,2
3917842,0,2
4376881,396,2
4571460,60390,2
4860782,125655,2
4877777,17100,2
4951776,1822961,2
4963384,2945000,2
5270306,1490563.9,2
5276485,398000,2
418250,75800,3
2571718,389584,3
2665697,1869510.32,3
2667089,662094.6,3
2702720,227722,3
3236464,90,3
3922127,123600,3
4862585,0,3
4910342,187130,3
5471852,36515.56,3
5471853,11468,3
5592071,280135,3
840432,61461,4
3349540,0,4
3806068,684498,4
4043976,834675,4
4043977,773118,4
4095342,639313,4
4910421,469582,4
4914076,914388.49,4
368184,41380,5
559483,2763150,5
995577,88055,5
3060127,66085,5
3535940,215574,5
559476,0,6
842496,182241.3,6
5118139,2070,6
5475520,103810,6
840431,1074065.29,7
999981,0,7
2809671,912694,7
4957017,15854,7
5700937,393520,7
4411451,65154,8
4952517,1125350,8
715184,97052.18,9
4465677,4292450,9
5220207,1350280,9
615564,55863,10
3060126,42195,12
5783562,175042,12
3891097,138095,14
4981217,861955,14
5736685,399822.61,15
875294,563646.72,17
3753756,24546264.51,17
5037394,1736679.2999999998,17
